Département,Ville ,code postal,population,superficie
2,ARCY-SAINTE-RESTITUE,2130,400,26.43
2,BURELLES,2140,100,13.83
2,ROCOURT-SAINT-MARTIN,2210,300,5.76
2,COMMENCHON,2300,200,3.33
2,VOULPAIX,2140,400,11.55
2,BUCY-LES-CERNY,2870,200,8.74
2,RENANSART,2240,200,8.71
2,PRESLES-ET-BOVES,2370,400,9.61
2,LAVAQUERESSE,2450,200,4.44
2,CUFFIES,2880,1700,5.02
2,VILLEQUIER-AUMONT,2300,600,12.34
2,VENDELLES,2490,100,5.28
2,ATTILLY,2490,400,11.81
2,BERLANCOURT,2250,100,5.2
2,GRISOLLES,2210,200,10.63
2,COURCELLES-SUR-VESLE,2220,300,8.81
